Nico Denz
Mark Donovan
Nils Eekhoff
Felix Gall
Chad Haga
Chris Hamilton
Jai Hindley
Marc Hirschi
Max Kanter
Wilco Kelderman
Michael Matthews
Joris Nieuwenhuis
Sam Oomen
Casper Pedersen
Robert Power
Nicolas Roche
Martin Salmon
Michael Storer
Florian Stork
Jasha Sütterlin
Martijn Tusveld
Ilan Van Wilder
Kevin Vermaerke

Julien Bernard
Gianluca Brambilla
Giulio Ciccone
William Clarke
Nicola Conci
Koen De Kort
Niklas Eg
Kenny Elissonde
Alessandro Fancellu
Alexander Kamp
Alex Kirsch
Emils Liepins
Juan Pedro Lopez
Bauke Mollema
Jacopo Mosca
Matteo Moschetti
Ryan Mullen
Antonio Nibali
Vincenzo Nibali
Mads Pedersen
Richie Porte
Charlie Quarterman
Kiel Reijnen
Michel Ries
Quinn Simmons
Mattias Skjelmose Jensen
Toms Skujins
Jasper Stuyven
Edward Theuns
Antonio Tiberi
Pieter Weening

Andres Ardila
Fabio Aru
Mikkel Bjerg
Tom Bohli
Sven Erik Bystrøm
Valerio Conti
Rui Costa
Alessandro Covi
David De La Cruz
Joe Dombrowski
Davide Formolo
Fernando Gaviria
Sergio Henao
Alexander Kristoff
Vegard Stake Laengen
Marco Marcato
Brandon McNulty
Yousef Mirza
Sebastian Molano
Cristian Munoz
Ivo Oliveira
Rui Oliveira
Jasper Philipsen
Tadej Pogacar
Jan Polanc
Edward Ravasi
Alexandr Riabushenko
Maximiliano Richeze
Oliviero Troia
Diego Ulissi

